FileHash-MD5,Indicator_Name,Description,isURL?,Risk_Score,Threat_Category
85f6658ad71340dd985b0f5b1c0bbb99 , UpdateUnits.exe , W32.AIDetectNet , False , 2 , suspicious 
98cde93cbc9517e271637cc1927f5e48 , lshttpd , _, False , 0 , suspicious 
b3c2e9f3e6b36070b661d40fb70cfbcf , Certificate_822657.wsf , Trojan.Generic , False , 18 , malicious 
86d9f8cda71bd25b77aafa6f38750f1a , Sunsama20Setup200.9.4.exe , _, False , 0 , malicious 
2a2897cc2500e7bc7da4c81379999e81 , lshttpd , _, False , 0 , suspicious 
a061a941c815bc5cc41ed7ecb9207b15 , Nielsen Answers desktop Installer.exe , Trojan.Malware.300983 , False , 2 , malicious 
ddf25629f576ebc01c1a979fca4f1276 , Updater.exe , Malware.Generic , False , 11 , malicious 
c80458cea1a0d6faeeb11772d0989500 , Utilidades Tecnicos 2.exe , Malware.Generic , False , 1 , malicious 
eb62721146ba1916f18c9edc78c55d89 , http://www.destinny.com/ , Malware site , True , 1 , malicious 
bc4ee26104b04a5a645ef0eea35e536e , https://signal6domain.online/click?redirect=http%3A%2F%2Ftpc.us&dID=1641422699310&linkName=tpc.us , Phishing site , True , 1 , suspicious 
1d421823c9a1ebf33c735a86ca1650c5 , ExpressVPN v10.78.0 [Modded].apk , _, False , 0 , suspicious 
a3a5489d233a77aa6ebc38b87604d9f1 , org.telegram.messenger_9.4.2.apk , _, False , 0 , malicious 
8597ee50cb841c6810967fedf7a0ae50 , https://r20.rs6.net/tn.jsp?t=3Dqcuzd54ab.0.0.sqy9yutab.0&1d=preview&r=3&p=http%3A%2F%2FAtnNwR.Wb7lR.ecomarkett.cl%2F%3F%3Dabc%40allianzgi.com , _, True , 0 , malicious 
3f60a6ead1261ddcbc7f551a02ddf7a9 , KT CHF Rule Manager v1.0.2.msi , _, False , _, malicious 
2034a3162dc4849c677d345619efafcb , http://219.156.190.72:58900/i , Malware site , True , 18 , malicious 
1aec65cdbc6a037a1f252888d5704357 , http://facture-edf.info/ , Phishing site , True , 8 , malicious 
6757c444db5d668c5f42eb1f2cebec4d , FileZilla_Server_1.6.6_win64-setup.exe , Grayware_confidence_60% , False , 1 , suspicious 
eaa082a70209ba4154e20c68f281fd6a , http://iphanyi.webredirect.org/ , Malicious site , True , 10 , malicious 
c62d59fd0e9e8cd17583ec371deeff09 , sox.exe , _, False , 0 , suspicious 
a56de08479860233b0edb4d7e5dbf481 , SKIDROW.exe , Backdoor , False , 14 , suspicious 
b29d679d060ac4e2ab9e851c8b542b15 , https://www.alcasa.org.au/ , Phishing site , True , 9 , malicious 
0ccf57723c401d2d7bce9f340038a2ad , ETISALAT DOMAINS Renewal Notice for nyubo2.ae_url_006.bin , _, False , _, malicious 
f27d8e9fe5e6d187254d1a7bd5c964e1 , iTranslate v5.9.2 [Premium] [Arm7].apk , _, False , _, suspicious 
811afafe1dc0479161a1f99f23ccee86 , Torque_1.12.99.b1120099_UserUpload.Net.apk , _, False , 0 , suspicious 
8c50bf5f527b20208fb2d6c2f54f7af4 , GLCUpdate , _, False , 0 , suspicious 
08d3ecbea717146329f7f5e740a7b413 , getlic_lsws , _, False , 0 , suspicious 
